"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bolivia","BOL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","530","570","640","740","800","880","840","810","820","810","720","690","690","700","700","720","740","770","790","830","880","930","970","950","960","940","900","890","940","1000","1090","1210","1450","1600","1750","1970","2210","2540","2780","2900","2970","3020","3290","3440","3120","3290","3450",
"Brazil","BRA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","270","310","370","410","450","500","580","720","950","1170","1380","1500","1680","1980","2150","2100","2040","1750","1660","1530","1730","2010","2280","2600","2590","2810","2760","2720","2960","3700","4440","5060","4920","4190","3910","3330","3080","2980","3340","3980","4830","6170","7590","8300","9610","11040","12270","12750","12080","10160","8890","8670","9140","9220","7910","7900","8140",
"Barbados","BRB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5880","6680","7440","7900","7660","7640","7540","7770","8100","8460","8840","9220","9630","10050","11060","10910","10930","11590","12600","13580","14610","15940","16600","16160","15960","15450","16150","16080","16050","16170","16350","16490","17020","17630","16230","16900","19350",
"Brunei Darussalam","BRN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11970","12310","13400","14970","14870","14960","15580","16130","16150","14380","14000","14650","16040","17100","17770","19930","22990","27390","30620","33690","31930","32680","34830","41580","44520","42380","38250","32690","29400","29030","31880","31210","30320","31410",
"Bhutan","BTN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","260","240","270","270","320","450","500","520","530","450","440","430","460","470","510","560","530","560","700","750","810","900","1020","1170","1290","1590","1720","1810","1980","2180","2330","2350","2400","2470","2600","2760","2940","3130","2840","3040","",
"Botswana","BWA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","70","80","80","90","100","100","120","150","170","220","270","370","450","530","550","580","670","860","1060","1270","1220","1100","1020","1010","1090","1270","1890","2220","2610","2950","3140","3180","2820","3110","3030","3170","3050","3000","3020","3100","2780","3200","3730","4690","5250","5460","5310","4750","5220","6320","6700","7020","6800","5890","5760","5850","6220","6630","6020","6610","7350",
"Central African Republic","CAF","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","70","70","70","80","80","90","90","100","100","100","100","120","140","160","180","210","240","280","320","330","330","260","270","290","350","420","490","490","480","470","470","440","360","350","290","300","270","270","250","250","250","250","290","320","340","370","400","460","480","500","530","350","360","370","380","400","450","470","460","480","480",
"Canada","CAN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","12180","13150","13940","14560","16320","18620","19860","20640","20980","21420","21270","20890","20850","20810","21330","20900","21450","22750","23110","23580","25480","29530","34310","37900","41550","44940","43230","44490","47190","51080","52800","52200","47590","43890","42900","45080","46600","43810","48720","52960",
"Central Europe and the Baltics","CEB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2238.00119762717","2442.33605119835","2718.87505551256","3177.03756564439","3630.9567336971","3829.35924321055","3870.98409532078","3915.30462051395","4090.97011313133","4170.58276879151","4429.37042083435","5187.40140413253","6381.46608470232","7734.1216353021","8849.1649424006","10320.7816813127","12380.0305633501","12751.5289579979","12794.1987642623","12975.9791355564","13137.9221657635","13387.8510139875","13555.6947026163","13248.3583243452","12825.1987199828","13066.3518482854","14691.3797415789","15931.6776804048","15842.7748027733","17639.0405860594","19272.3805042222",
"Switzerland","CHE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46700","49670","49290","46130","44190","44580","42010","40640","46660","55000","62780","65290","64120","64870","71800","79040","81330","86720","90590","88250","86810","83360","80770","82470","83160","82490","88910","89450",
