;Ano;Vinhos;Total;Tipo
1800;2014;Pinot Noir;2592701;Tinto
1801;2015;Pinot Noir;3125882;Tinto
1802;2016;Pinot Noir;1279105;Tinto
1803;2017;Pinot Noir;3676000;Tinto
1804;2018;Pinot Noir;3240209;Tinto
1806;2020;Pinot Noir;3588106;Tinto
1807;2021;Pinot Noir;6184345;Tinto
1808;2006;Pinot Saint George;48830;Tinto
1809;2007;Pinot Saint George;72560;Tinto
1810;2008;Pinot Saint George;28170;Tinto
1811;2009;Pinot Saint George;29180;Tinto
1813;2011;Pinot Saint George;7600;Tinto
1814;2012;Pinot Saint George;20920;Tinto
1815;2013;Pinot Saint George;14120;Tinto
1816;2014;Pinot Saint George;2480;Tinto
1824;2006;Piriquita;12845;Tinto
1840;2006;Rebo;550;Tinto
1841;2007;Rebo;3000;Tinto
1842;2008;Rebo;7610;Tinto
1843;2009;Rebo;4240;Tinto
1844;2010;Rebo;1650;Tinto
1845;2011;Rebo;27620;Tinto
1846;2012;Rebo;16440;Tinto
1847;2013;Rebo;19780;Tinto
1848;2014;Rebo;13420;Tinto
1849;2015;Rebo;22290;Tinto
1850;2016;Rebo;12470;Tinto
1851;2017;Rebo;44440;Tinto
1852;2018;Rebo;94480;Tinto
1854;2020;Rebo;177172;Tinto
1855;2021;Rebo;15912;Tinto
1856;2006;Refosco;26537;Tinto
1857;2007;Refosco;17415;Tinto
1858;2008;Refosco;59340;Tinto
1859;2009;Refosco;10430;Tinto
1860;2010;Refosco;9466;Tinto
1861;2011;Refosco;18705;Tinto
1862;2012;Refosco;12120;Tinto
1863;2013;Refosco;12080;Tinto
1864;2014;Refosco;13240;Tinto
1865;2015;Refosco;9310;Tinto
1866;2016;Refosco;3260;Tinto
1867;2017;Refosco;5240;Tinto
1868;2018;Refosco;7320;Tinto
1871;2021;Refosco;380;Tinto
1874;2008;Rondinella;668;Tinto
1875;2009;Rondinella;648;Tinto
1876;2010;Rondinella;100;Tinto
1877;2011;Rondinella;1150;Tinto
1878;2012;Rondinella;1020;Tinto
1879;2013;Rondinella;1089;Tinto
1880;2014;Rondinella;1053;Tinto
1881;2015;Rondinella;1110;Tinto
1882;2016;Rondinella;333;Tinto
1883;2017;Rondinella;1899;Tinto
1884;2018;Rondinella;1990;Tinto
1886;2020;Rondinella;2340;Tinto
1887;2021;Rondinella;684860;Tinto
1888;2006;Ruby Cabernet;654931;Tinto
1889;2007;Ruby Cabernet;782800;Tinto
1890;2008;Ruby Cabernet;679484;Tinto
1891;2009;Ruby Cabernet;532095;Tinto
1892;2010;Ruby Cabernet;379720;Tinto
1893;2011;Ruby Cabernet;582497;Tinto
1894;2012;Ruby Cabernet;470683;Tinto
1895;2013;Ruby Cabernet;526124;Tinto
1896;2014;Ruby Cabernet;486527;Tinto
1897;2015;Ruby Cabernet;388019;Tinto
1898;2016;Ruby Cabernet;220231;Tinto
1899;2017;Ruby Cabernet;382994;Tinto
1900;2018;Ruby Cabernet;248992;Tinto
1902;2020;Ruby Cabernet;218783;Tinto
1903;2021;Ruby Cabernet;78412;Tinto
1904;2006;Sangiovese;133402;Tinto
1905;2007;Sangiovese;115475;Tinto
1906;2008;Sangiovese;405224;Tinto
1907;2009;Sangiovese;303438;Tinto
1908;2010;Sangiovese;258484;Tinto
1909;2011;Sangiovese;359833;Tinto
1910;2012;Sangiovese;280756;Tinto
1911;2013;Sangiovese;277679;Tinto
1912;2014;Sangiovese;122632;Tinto
1913;2015;Sangiovese;135962;Tinto
1914;2016;Sangiovese;26601;Tinto
1915;2017;Sangiovese;89404;Tinto
1916;2018;Sangiovese;63832;Tinto
1918;2020;Sangiovese;85292;Tinto
1919;2021;Sangiovese;3324793;Tinto
1922;2008;Sira (falsa);14145;Tinto
1936;2006;Tannat;3055931;Tinto
1937;2007;Tannat;3514880;Tinto
1938;2008;Tannat;4711255;Tinto
1939;2009;Tannat;4199190;Tinto
1940;2010;Tannat;2266985;Tinto
1941;2011;Tannat;4152135;Tinto
1942;2012;Tannat;4585214;Tinto
1943;2013;Tannat;3612439;Tinto
1944;2014;Tannat;2644014;Tinto
1945;2015;Tannat;2761604;Tinto
1946;2016;Tannat;985207;Tinto
1947;2017;Tannat;3668851;Tinto
1948;2018;Tannat;2940306;Tinto
1950;2020;Tannat;3571972;Tinto
1951;2021;Tannat;2634802;Tinto
1952;2006;Tempranillo;111158;Tinto
1953;2007;Tempranillo;192063;Tinto
1954;2008;Tempranillo;241017;Tinto
1955;2009;Tempranillo;242484;Tinto
1956;2010;Tempranillo;63526;Tinto
1957;2011;Tempranillo;256836;Tinto
1958;2012;Tempranillo;283929;Tinto
1959;2013;Tempranillo;219163;Tinto
1960;2014;Tempranillo;119398;Tinto
1961;2015;Tempranillo;182579;Tinto
1962;2016;Tempranillo;210551;Tinto
1963;2017;Tempranillo;357637;Tinto
1964;2018;Tempranillo;278456;Tinto
1966;2020;Tempranillo;442330;Tinto
1967;2021;Tempranillo;968038;Tinto
1968;2006;Teroldego;51645;Tinto
1969;2007;Teroldego;61659;Tinto
1970;2008;Teroldego;69876;Tinto
1971;2009;Teroldego;105372;Tinto
1972;2010;Teroldego;68593;Tinto
1973;2011;Teroldego;179095;Tinto
1974;2012;Teroldego;157368;Tinto
1975;2013;Teroldego;124542;Tinto
1976;2014;Teroldego;87820;Tinto
1977;2015;Teroldego;97455;Tinto
1978;2016;Teroldego;34019;Tinto
1979;2017;Teroldego;87034;Tinto
1980;2018;Teroldego;77625;Tinto
1982;2020;Teroldego;106764;Tinto
1983;2021;Teroldego;717757;Tinto
1990;2012;Torrontes;4300;Tinto
1991;2013;Torrontes;3090;Tinto
1992;2014;Torrontes;9580;Tinto
1993;2015;Torrontes;10070;Tinto
1994;2016;Torrontes;1490;Tinto
1995;2017;Torrontes;14630;Tinto
1996;2018;Torrontes;16350;Tinto
1998;2020;Torrontes;9700;Tinto
2001;2007;Tinta Barroca;6520;Tinto
2002;2008;Tinta Barroca;12870;Tinto
2003;2009;Tinta Barroca;6710;Tinto
2032;2006;Touriga Nacional;42376;Tinto
2033;2007;Touriga Nacional;127462;Tinto
2034;2008;Touriga Nacional;101376;Tinto
2035;2009;Touriga Nacional;131833;Tinto
2036;2010;Touriga Nacional;97629;Tinto
2037;2011;Touriga Nacional;189928;Tinto
2038;2012;Touriga Nacional;133820;Tinto
2039;2013;Touriga Nacional;136565;Tinto
2040;2014;Touriga Nacional;86460;Tinto
2041;2015;Touriga Nacional;136611;Tinto
2042;2016;Touriga Nacional;53552;Tinto
2043;2017;Touriga Nacional;108245;Tinto
2044;2018;Touriga Nacional;122015;Tinto
2046;2020;Touriga Nacional;150166;Tinto
2047;2021;Touriga Nacional;38910;Tinto
2080;2006;Trincdeira;3591;Tinto
2081;2007;Trincdeira;255;Tinto
2116;2010;Zinfandel;372;Tinto
