id;tipo;produto;ano;Total
42;DERIVADOS;Borra líquida;2008;1679775
43;DERIVADOS;Borra seca;2008;0
44;DERIVADOS;Vinho Composto;2008;0
45;DERIVADOS;Pisco;2008;0
46;DERIVADOS;Vinho orgânico;2008;15000
47;DERIVADOS;Espumante orgânico;2008;0
48;DERIVADOS;Destilado alcoólico simples de bagaceira ;2008;0
49;DERIVADOS;Vinho acidificado ;2008;0
50;DERIVADOS;Mosto parcialmente fermentado ;2008;0
51;DERIVADOS;Outros derivados;2008;0
2;VINHO DE MESA;Tinto;2009;164143454
3;VINHO DE MESA;Branco;2009;39211278
4;VINHO DE MESA;Rosado;2009;2063474
6;VINHO FINO DE MESA (VINÍFERA);Tinto;2009;18209043
7;VINHO FINO DE MESA (VINÍFERA);Branco;2009;21366975
8;VINHO FINO DE MESA (VINÍFERA);Rosado;2009;324550
10;SUCO;Suco de uva integral;2009;16034003
11;SUCO;Suco de uva concentrado;2009;23006457
12;SUCO;Suco de uva adoçado;2009;674638
13;SUCO;Suco de uva orgânico;2009;0
14;SUCO;Suco de uva reconstituído;2009;0
16;DERIVADOS;Espumante;2009;0
17;DERIVADOS;Espumante moscatel;2009;1190500
18;DERIVADOS;Base espumante;2009;335850
19;DERIVADOS;Base espumante moscatel;2009;442150
20;DERIVADOS;Base Champenoise champanha;2009;0
21;DERIVADOS;Base Charmat champanha;2009;0
22;DERIVADOS;Bebida de uva;2009;420
23;DERIVADOS;Polpa de uva;2009;1352417
24;DERIVADOS;Mosto simples;2009;53418555
25;DERIVADOS;Mosto concentrado;2009;0
26;DERIVADOS;Mosto de uva com bagaço;2009;0
27;DERIVADOS;Mosto dessulfitado;2009;0
28;DERIVADOS;Mistelas;2009;3500
29;DERIVADOS;Néctar de uva;2009;0
30;DERIVADOS;Licorosos;2009;38000
31;DERIVADOS;Compostos;2009;0
32;DERIVADOS;Jeropiga;2009;0
33;DERIVADOS;Filtrado;2009;0
34;DERIVADOS;Frisante;2009;0
35;DERIVADOS;Vinho leve;2009;0
36;DERIVADOS;Vinho licoroso;2009;0
37;DERIVADOS;Brandy;2009;0
38;DERIVADOS;Destilado;2009;0
39;DERIVADOS;Bagaceira;2009;6500
40;DERIVADOS;Licor de bagaceira;2009;0
41;DERIVADOS;Vinagre;2009;0
42;DERIVADOS;Borra líquida;2009;0
43;DERIVADOS;Borra seca;2009;0
44;DERIVADOS;Vinho Composto;2009;0
45;DERIVADOS;Pisco;2009;0
46;DERIVADOS;Vinho orgânico;2009;0
47;DERIVADOS;Espumante orgânico;2009;0
48;DERIVADOS;Destilado alcoólico simples de bagaceira ;2009;0
49;DERIVADOS;Vinho acidificado ;2009;0
50;DERIVADOS;Mosto parcialmente fermentado ;2009;0
51;DERIVADOS;Outros derivados;2009;0
2;VINHO DE MESA;Tinto;2010;157290088
