Ano;Vinhos;Total;Tipo
2006;Gros Manseng;2500;Brancas/Rosadas
2007;Gros Manseng;5770;Brancas/Rosadas
2008;Gros Manseng;1800;Brancas/Rosadas
2009;Gros Manseng;3289;Brancas/Rosadas
2010;Gros Manseng;4430;Brancas/Rosadas
2011;Gros Manseng;7220;Brancas/Rosadas
2013;Gros Manseng;4640;Brancas/Rosadas
2014;Gros Manseng;4830;Brancas/Rosadas
2015;Gros Manseng;7410;Brancas/Rosadas
2017;Gros Manseng;5680;Brancas/Rosadas
2018;Gros Manseng;2430;Brancas/Rosadas
2020;Gros Manseng;6296;Brancas/Rosadas
2009;Italia (Pirovano 65) (PE);2650;Brancas/Rosadas
2010;Italia (Pirovano 65) (PE);2230;Brancas/Rosadas
2011;Italia (Pirovano 65) (PE);6405;Brancas/Rosadas
2012;Italia (Pirovano 65) (PE);61799;Brancas/Rosadas
2013;Italia (Pirovano 65) (PE);5671;Brancas/Rosadas
2014;Italia (Pirovano 65) (PE);40230;Brancas/Rosadas
2015;Italia (Pirovano 65) (PE);37820;Brancas/Rosadas
2017;Italia (Pirovano 65) (PE);180;Brancas/Rosadas
2018;Italia (Pirovano 65) (PE);2942;Brancas/Rosadas
2020;Italia (Pirovano 65) (PE);200;Brancas/Rosadas
2021;Italia (Pirovano 65) (PE);1858705;Brancas/Rosadas
2013;Maccabeo;3558;Brancas/Rosadas
2015;Maccabeo;17670;Brancas/Rosadas
2006;Malvasia Amarela;61112;Brancas/Rosadas
2007;Malvasia Amarela;94281;Brancas/Rosadas
2008;Malvasia Amarela;131350;Brancas/Rosadas
2009;Malvasia Amarela;153905;Brancas/Rosadas
2010;Malvasia Amarela;251587;Brancas/Rosadas
2011;Malvasia Amarela;107015;Brancas/Rosadas
2012;Malvasia Amarela;115147;Brancas/Rosadas
2013;Malvasia Amarela;519959;Brancas/Rosadas
2014;Malvasia Amarela;149663;Brancas/Rosadas
2015;Malvasia Amarela;119930;Brancas/Rosadas
2016;Malvasia Amarela;10100;Brancas/Rosadas
2017;Malvasia Amarela;44445;Brancas/Rosadas
2018;Malvasia Amarela;52936;Brancas/Rosadas
2020;Malvasia Amarela;24440;Brancas/Rosadas
2021;Malvasia Amarela;3980;Brancas/Rosadas
2006;Malvasia Bianca;192862;Brancas/Rosadas
2007;Malvasia Bianca;191316;Brancas/Rosadas
2008;Malvasia Bianca;325942;Brancas/Rosadas
2009;Malvasia Bianca;281064;Brancas/Rosadas
2010;Malvasia Bianca;49176;Brancas/Rosadas
2011;Malvasia Bianca;138608;Brancas/Rosadas
2012;Malvasia Bianca;119122;Brancas/Rosadas
2013;Malvasia Bianca;184949;Brancas/Rosadas
2014;Malvasia Bianca;414603;Brancas/Rosadas
2015;Malvasia Bianca;602081;Brancas/Rosadas
2016;Malvasia Bianca;217177;Brancas/Rosadas
2017;Malvasia Bianca;629101;Brancas/Rosadas
2018;Malvasia Bianca;574521;Brancas/Rosadas
2020;Malvasia Bianca;494343;Brancas/Rosadas
2021;Malvasia Bianca;1165104;Brancas/Rosadas
2006;Malvasia Chianti;14705;Brancas/Rosadas
2007;Malvasia Chianti;15235;Brancas/Rosadas
2008;Malvasia Chianti;4730;Brancas/Rosadas
2010;Malvasia Chianti;2142;Brancas/Rosadas
2013;Malvasia Chianti;5061;Brancas/Rosadas
2014;Malvasia Chianti;7632;Brancas/Rosadas
2016;Malvasia Chianti;1314;Brancas/Rosadas
2006;Malvasia Verde;145670;Brancas/Rosadas
2007;Malvasia Verde;253369;Brancas/Rosadas
2008;Malvasia Verde;289366;Brancas/Rosadas
2009;Malvasia Verde;331718;Brancas/Rosadas
2010;Malvasia Verde;83565;Brancas/Rosadas
2011;Malvasia Verde;60776;Brancas/Rosadas
2012;Malvasia Verde;10979;Brancas/Rosadas
2013;Malvasia Verde;18690;Brancas/Rosadas
2014;Malvasia Verde;8825;Brancas/Rosadas
2015;Malvasia Verde;5108;Brancas/Rosadas
2016;Malvasia Verde;2460;Brancas/Rosadas
2017;Malvasia Verde;10457;Brancas/Rosadas
2018;Malvasia Verde;15220;Brancas/Rosadas
